,rm_id,rm_type,symptom,provider,url,maintain,improve,prevent,description,edit_date,tag
0,102,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926,0,0,1,"Avoid tight hairstyles, such as braids, buns or ponytails.",2018-06-15,lifestyle
1,103,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926,0,0,1,"Avoid compulsively twisting, rubbing or pulling your hair.",2018-06-15,lifestyle
2,104,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926,0,0,1,Treat your hair gently when washing and brushing. A wide-toothed comb may help prevent pulling out hair.,2018-06-15,lifestyle
3,105,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926,0,0,1,"Avoid harsh treatments such as hot rollers, curling irons, hot oil treatments and permanents.",2018-06-15,lifestyle
4,106,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926,0,0,1,Avoid medications and supplements that could cause hair loss.,2018-06-15,lifestyle
5,107,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926,0,0,1,Protect your hair from sunlight and other sources of ultraviolet light.,2018-06-15,lifestyle
6,108,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926,0,0,1,Stop smoking. Some studies show an association between smoking and baldness in men.,2018-06-15,lifestyle
7,109,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926,0,0,1,"If you are being treated with chemotherapy, ask your doctor about a cooling cap. This cap can reduce your risk of losing hair during chemotherapy.",2018-06-15,lifestyle
8,110,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/diagnosis-treatment/drc-20372932,0,0,1,"Medicatioin: If your hair loss is caused by an underlying disease, treatment for that disease will be necessary. This may include drugs to reduce inflammation and suppress your immune system, such as prednisone.",2018-06-15,therapy
9,111,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/diagnosis-treatment/drc-20372932,0,0,1,Minoxidil (Rogaine) for men and women. This is an over-the-counter (nonprescription) medication approved for men and women.,2018-06-15,therapy
10,112,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/diagnosis-treatment/drc-20372932,0,0,1,Finasteride (Propecia) for men. This is a prescription drug approved for men. You take it daily as a pill.,2018-06-15,therapy
