,user_id,rm_id,rating
0,tom0,41,3
1,tom0,43,4
2,tom0,46,2
3,tom0,47,3
4,tom0,49,4
5,tom0,50,4
6,tom1,42,5
7,tom1,43,1
8,tom1,45,2
9,tom1,46,2
10,tom1,47,2
11,tom1,50,1
12,tom2,41,4
13,tom2,45,1
14,tom2,50,1
15,tom3,43,2
16,tom3,45,4
17,tom4,42,1
18,tom4,45,2
19,tom4,47,4
20,tom4,49,4
21,tom5,42,1
22,tom5,44,1
23,tom5,47,5
24,tom5,48,2
25,tom5,50,1
26,tom6,41,3
27,tom6,42,4
28,tom6,46,4
29,tom7,41,1
30,tom7,43,4
31,tom7,44,1
32,tom7,46,3
33,tom7,47,1
34,tom8,41,5
35,tom8,42,1
36,tom8,45,1
37,tom8,47,1
38,tom8,49,3
39,tom8,50,3
40,tom9,42,5
41,tom9,43,4
42,tom9,44,4
43,tom9,45,3
44,tom9,47,4
45,tom9,48,2
46,tom9,49,4
47,tom10,41,2
48,tom10,42,2
49,tom10,43,5
50,tom10,44,4
51,tom10,45,4
52,tom11,41,4
53,tom11,42,4
54,tom11,46,1
55,tom11,47,3
56,tom11,48,4
57,tom11,49,3
58,tom12,41,3
59,tom12,42,4
60,tom12,44,5
61,tom12,46,1
62,tom12,47,3
63,tom12,48,4
64,tom12,50,1
65,tom13,42,3
66,tom13,44,2
67,tom13,45,2
68,tom13,49,5
69,tom13,50,5
70,tom14,42,5
71,tom14,43,4
72,tom14,44,5
73,tom14,45,1
74,tom14,46,4
75,tom14,48,1
76,tom14,50,4
77,tom15,42,3
78,tom15,44,2
79,tom15,45,5
80,tom15,50,3
81,tom16,42,3
82,tom16,43,2
83,tom16,46,2
84,tom17,41,5
85,tom17,42,2
86,tom17,43,3
87,tom17,44,2
88,tom17,48,2
89,tom18,41,1
90,tom18,44,1
91,tom19,41,1
92,tom19,43,3
93,tom19,46,2
94,tom19,47,2
95,tom19,48,3
96,tom19,49,2
97,tom20,41,4
98,tom20,43,4
99,tom20,46,1
100,tom20,47,1
101,tom20,49,3
102,tom21,41,4
103,tom21,42,5
104,tom21,43,3
105,tom21,44,5
106,tom21,46,4
107,tom21,47,5
108,tom21,49,1
109,tom21,50,4
110,tom22,42,1
111,tom22,44,2
112,tom22,45,1
113,tom22,47,4
114,tom22,48,5
115,tom22,49,4
116,tom22,50,4
117,tom23,41,3
118,tom23,42,4
119,tom23,45,4
120,tom23,46,3
121,tom23,47,4
122,tom23,49,2
123,tom24,41,5
124,tom24,44,1
125,tom24,45,3
126,tom24,46,5
127,tom24,47,3
128,tom24,49,5
129,tom24,50,1
130,tom25,41,2
131,tom25,47,2
132,tom25,49,1
133,tom26,42,4
134,tom26,45,4
135,tom26,46,2
136,tom27,41,5
137,tom27,42,1
138,tom27,43,5
139,tom27,45,5
140,tom27,46,5
141,tom27,47,4
142,tom28,41,1
143,tom28,45,3
144,tom28,48,1
145,tom28,49,4
146,tom28,50,2
147,tom29,41,5
148,tom29,42,4
149,tom29,46,5
150,tom29,49,4
151,tom29,50,4
