,Age,Density Corner Left Eye,Density Corner Right Eye,Density Forehead,Density Cheek Left,Density Cheek Right,Depth Corner Left Eye,Depth Corner Right Eye,Depth Forehead,Depth Cheek Left,Depth Cheek Right,Variance Corner Left Eye,Variance Corner Right Eye,Variance Forehead,Variance Cheek Left,Variance Cheek Right,Path
0,46,0.33452381,0.276497696,0.201745108,0.0372960373,0.0724867725,0.273885366,0.283100911,0.251641114,0.182449658,0.19649745,0.149656255,0.138941398,0.110816376,0.0732297974,0.0791182421,./datasets/result/1000_1968-1-9_2014.jpg
1,38,0.344401544,0.405594406,0.51775,0.114247312,0.162087912,0.287310841,0.261350931,0.320544907,0.207851542,0.235195053,0.152103115,0.160314187,0.207056318,0.0928622133,0.102279615,./datasets/result/1001_1968-1-9_2006.jpg
2,33,0.210625,0.423076923,0.20661157,0.0890151515,0.257266543,0.261863242,0.2416128,0.241677823,0.208791468,0.235696945,0.115284473,0.152893702,0.105036784,0.0871688095,0.122067278,./datasets/result/1002_1968-1-9_2001.jpg
3,35,0.285714286,0.118386243,0.291666667,0.239393939,0.157142857,0.208678781,0.245751519,0.32667888,0.224266101,0.252282492,0.121462033,0.0813090269,0.150987488,0.118349355,0.101763809,./datasets/result/1003_1975-8-12_2010.jpg
4,32,0.155202822,0.359259259,0.0197813639,0.0518939394,0.168333333,0.248104936,0.209160478,0.189758119,0.184169806,0.245439802,0.106998726,0.13955488,0.0593396112,0.0725033894,0.101094845,./datasets/result/1005_1975-8-12_2007.jpg
5,26,0.252525253,0.103448276,0.295238095,0.20508744,0.103766026,0.251362888,0.189890467,0.246066436,0.258879834,0.210630787,0.13372525,0.0671160869,0.13159259,0.110610459,0.0902388454,./datasets/result/1006_1975-8-12_2001.jpg
6,44,0.40257649,0.62,0.131320296,0.0500578704,0.0397058824,0.218901849,0.312157228,0.331439656,0.192718375,0.23610438,0.141462861,0.231627531,0.0710543932,0.0628863476,0.0579843714,./datasets/result/1007_1939-10-28_1983.jpg
7,54,0.605333333,0.562034739,0.164779874,0.356481481,0.308035714,0.355846157,0.341250333,0.224223294,0.317993809,0.319446613,0.252741229,0.23335134,0.101389016,0.166591166,0.155463198,./datasets/result/1008_1953-6-13_2007.jpg
8,49,0.274599542,0.159139785,0.0476489028,0.125800256,0.175839188,0.212075463,0.237219089,0.182590304,0.220047593,0.213200877,0.120675311,0.098724789,0.0760195463,0.0919237666,0.106320118,./datasets/result/1009_1953-6-13_2002.jpg
9,41,0.114666667,0.20462963,0.111666667,0.130463144,0.203193033,0.195740643,0.22842148,0.284738411,0.221525641,0.226377517,0.0899139924,0.109230307,0.0983283429,0.0872938847,0.109625934,./datasets/result/100_1962-1-17_2003.jpg
