,Age,Density Corner Left Eye,Density Corner Right Eye,Density Forehead,Density Cheek Left,Density Cheek Right,Depth Corner Left Eye,Depth Corner Right Eye,Depth Forehead,Depth Cheek Left,Depth Cheek Right,Variance Corner Left Eye,Variance Corner Right Eye,Variance Forehead,Variance Cheek Left,Variance Cheek Right,Path
0,41,0.579545455,0.631379962,0.17760394,0.36827957,0.397949674,0.274773098,0.300199165,0.209620086,0.236815479,0.244399571,0.201877553,0.226417618,0.105178721,0.145875911,0.152767035,./datasets/wrinkles3/10000_1970-6-28_2011.jpg
1,52,0.626666667,0.183946488,0.00958923715,0.118461538,0.0446455505,0.297103441,0.205686835,0.262226525,0.223582567,0.226170475,0.225984285,0.103180933,0.032537953,0.0859603015,0.0651523779,./datasets/wrinkles3/10002_1958-5-17_2010.jpg
2,56,0.719014649,0.68779124,0.398784195,0.677345538,0.760683761,0.741806949,0.366950514,0.25452208,0.675396219,0.51154079,0.646017417,0.283188669,0.154820322,0.487682282,0.412973409,./datasets/wrinkles3/10004_1959-10-10_2015.jpg
3,54,0.61328125,0.554285714,0.131141746,0.191123188,0.0754458162,0.253542297,0.294210113,0.219792569,0.230991923,0.205613491,0.193968305,0.206275342,0.0919922661,0.105985045,0.0745697027,./datasets/wrinkles3/10006_1959-10-10_2013.jpg
4,40,0.638888889,0.431077694,0.121130952,0.234126984,0.141858553,0.279160514,0.273259413,0.200332222,0.232381862,0.245315494,0.215527169,0.162808602,0.091234008,0.11615126,0.0987584948,./datasets/wrinkles3/10007_1959-10-10_1999.jpg
5,53,0.2909699,0.478125,0.238559322,0.174048174,0.45943098,0.306277184,0.308605066,0.225951262,0.210151167,0.305319742,0.15031869,0.19096116,0.119387854,0.100697,0.187991252,./datasets/wrinkles3/10008_1959-10-10_2012.jpg
6,18,0.214189189,0.325670498,0.373572821,0.0350877193,0.0860585198,0.419344051,0.296578902,0.401204002,0.207647675,0.186467647,0.138007157,0.154535516,0.187710652,0.0701074409,0.0855884479,./datasets/wrinkles3/10009_1950-6-30_1968.jpg
7,51,0.622188906,0.686904762,0.600077479,0.684981685,0.461979914,0.281679335,0.313595604,0.381262715,0.310771586,0.246245221,0.212200826,0.247374655,0.266455806,0.24427229,0.164408584,./datasets/wrinkles3/1000_1892-09-30_1943.jpg
8,48,0.604278075,0.603815937,0.0606715426,0.196466646,0.108956602,0.29332443,0.335623544,0.231807081,0.244574448,0.231845139,0.213107703,0.238906725,0.0669520354,0.110205128,0.0863193651,./datasets/wrinkles3/10010_1966-4-16_2014.jpg
9,38,0.0945083014,0.160095579,0.0108386398,0.0963333333,0.04,0.208202055,0.466304761,0.295128911,0.215555378,0.229762284,0.0813012652,0.103980197,0.0374504006,0.0886066161,0.0472753108,./datasets/wrinkles3/10011_1977-9-1_2015.jpg
10,29,0.271929825,0.712530713,0.0125031258,0.134394722,0.0781026375,0.477063907,0.412699438,0.256850712,0.236129995,0.259664609,0.181104052,0.32202306,0.0442175394,0.0823004988,0.0581582328,./datasets/wrinkles3/10012_1977-9-1_2006.jpg
11,62,0.160287081,0.17032967,0.0742924528,0.0948020469,0.0605285592,0.206222391,0.24114814,0.311286036,0.233577187,0.27451422,0.0995221806,0.107926891,0.0780571439,0.0766126502,0.0737496385,./datasets/wrinkles3/10013_1948-2-5_2010.jpg
12,63,0.416965352,0.55625,0.0565826331,0.247563353,0.236956522,0.259666281,0.254810953,0.198903225,0.2743581,0.25535227,0.158816166,0.18371134,0.0709195626,0.120947478,0.112973952,./datasets/wrinkles3/10014_1948-2-5_2011.jpg
13,60,0.273809524,0.0303030303,0.126907906,0.34440753,0.00102459016,0.251457698,0.227873677,0.216020029,0.289748082,0.177469937,0.11695612,0.0529043065,0.0922234786,0.152985382,0.0441452896,./datasets/wrinkles3/10015_1948-2-5_2008.jpg
14,67,0.605,0.287442396,0.149536178,0.404938272,0.360645161,0.360460171,0.283055236,0.231635435,0.343150632,0.251818806,0.256250759,0.134105165,0.0945076021,0.190226619,0.144603553,./datasets/wrinkles3/10016_1948-2-5_2015.jpg
