,Age,Spot Density Corner Left Eye,Spot Density Corner Right Eye,Spot Density Forehead,Spot Density Cheek Left,Spot Density Cheek Right,Max Spot Size Corner Left Eye,Max Spot Size Corner Right Eye,Max Spot Size Forehead,Max Spot Size Cheek Left,Max Spot Size Cheek Right,Count of Spots Corner Left Eye,Count of Spots Corner Right Eye,Count of Spots Forehead,Count of Spots Cheek Left,Count of Spots Cheek Right,Path
0,40,0,0,0.00663650075,0,0,0,0,0.0004,0,0,0,0,1,0,0,../datasets/spots/10007_1959-10-10_1999.jpg
1,53,0,0,0.00555555556,0,0,0,0,0.000324,0,0,0,0,1,0,0,../datasets/spots/10008_1959-10-10_2012.jpg
2,67,0,0,0.00378378378,0,0,0,0,0.000196,0,0,0,0,1,0,0,../datasets/spots/10016_1948-2-5_2015.jpg
3,70,0,0,0.0108401084,0,0,0,0,0.000451321728,0,0,0,0,1,0,0,../datasets/spots/10017_1939-9-18_2009.jpg
4,18,0,0,0.00677419355,0,0.0216049383,0,0,0.000439241278,0,0.000573702894,0,0,1,0,1,../datasets/spots/10041_1980-9-9_1998.jpg
5,53,0,0,0.00371155885,0,0,0,0,0.000196,0,0,0,0,1,0,0,../datasets/spots/10057_1957-3-4_2010.jpg
6,38,0,0,0.0172110994,0,0,0,0,0.000618113,0,0,0,0,2,0,0,../datasets/spots/10058_1964-0-0_2002.jpg
7,54,0,0,0.0119280755,0,0,0,0,0.000196,0,0,0,0,3,0,0,../datasets/spots/10060_1961-10-30_2015.jpg
8,36,0,0,0.00501672241,0,0.0167682927,0,0,0.000313259174,0,0.000313259174,0,0,1,0,1,../datasets/spots/10062_1969-8-27_2005.jpg
9,40,0,0,0.00556920557,0,0,0,0,0.000256,0,0,0,0,1,0,0,../datasets/spots/10064_1973-7-3_2013.jpg
10,41,0,0,0.0036036036,0,0,0,0,0.000144,0,0,0,0,1,0,0,../datasets/spots/10065_1973-7-3_2014.jpg
11,49,0,0,0,0,0.0244565217,0,0,0,0,0.000356960734,0,0,0,0,1,../datasets/spots/1006_1964-02-21_2013.jpg
12,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../datasets/spots/10071_1966-1-20_2015.jpg
13,36,0,0,0,0.00695652174,0,0,0,0,0.000256,0,0,0,0,1,0,../datasets/spots/10082_1977-12-17_2013.jpg
14,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../datasets/spots/10085_1973-2-2_2015.jpg
15,48,0,0,0.00501073729,0,0,0,0,0.000196,0,0,0,0,2,0,0,../datasets/spots/10087_1957-2-19_2005.jpg
16,46,0,0,0.00561545373,0,0,0,0,0.00023461927,0,0,0,0,1,0,0,../datasets/spots/1008_1968-06-06_2014.jpg
17,49,0,0,0.00324675325,0,0,0,0,0.000195608782,0,0,0,0,1,0,0,../datasets/spots/10101_1962-3-9_2011.jpg
18,92,0,0,0.0240919199,0,0,0,0,0.000848336318,0,0,0,0,2,0,0,../datasets/spots/1010_1914-10-27_2006.jpg
19,23,0,0,0.00513478819,0,0,0,0,0.000196,0,0,0,0,1,0,0,../datasets/spots/10113_1991-11-15_2014.jpg
20,48,0,0,0.00385154062,0,0,0,0,0.000231066679,0,0,0,0,1,0,0,../datasets/spots/10128_1965-12-7_2013.jpg
21,55,0,0,0.00623973727,0,0,0,0,0.000403451569,0,0,0,0,1,0,0,../datasets/spots/10134_1959-10-23_2014.jpg
22,19,0,0,0,0.0475280631,0,0,0,0,0.002704,0,0,0,0,1,0,../datasets/spots/10138_1989-3-11_2008.jpg
23,48,0,0,0.0106907895,0,0.0369843528,0,0,0.000692520776,0,0.000530211219,0,0,1,0,1,../datasets/spots/10153_1960-8-2_2008.jpg
24,31,0,0,0,0.0236734694,0,0,0,0,0.000804788492,0,0,0,0,1,0,../datasets/spots/10157_1971-8-22_2002.jpg
25,44,0,0,0,0.00579710145,0,0,0,0,0.000196,0,0,0,0,1,0,../datasets/spots/10165_1962-8-15_2006.jpg
26,45,0,0,0,0.0170250896,0,0,0,0,0.000324,0,0,0,0,1,0,../datasets/spots/10184_1970-10-11_2015.jpg
27,45,0,0,0.00305250305,0.0143518519,0,0,0,0.000196,0.000256,0,0,0,1,1,0,../datasets/spots/10186_1970-10-11_2015.jpg
28,45,0,0,0,0.00866738895,0,0,0,0,0.000256,0,0,0,0,1,0,../datasets/spots/10187_1970-10-11_2015.jpg
29,49,0,0,0.00271172299,0,0,0,0,0.000196,0,0,0,0,1,0,0,../datasets/spots/10191_1964-3-23_2013.jpg
30,23,0,0,0.00684261975,0,0.00522317189,0,0,0.000256,0,0.000196,0,0,2,0,1,../datasets/spots/10209_1987-10-0_2010.jpg
31,52,0,0,0,0.00813609467,0,0,0,0,0.00023461927,0,0,0,0,1,0,../datasets/spots/1020_1962-08-19_2014.jpg
32,41,0,0,0,0.0376940133,0,0,0,0,0.00114521301,0,0,0,0,1,0,../datasets/spots/10211_1964-12-10_2005.jpg
33,29,0,0,0,0.0197568389,0,0,0,0,0.000697099413,0,0,0,0,1,0,../datasets/spots/10216_1986-6-13_2015.jpg
34,43,0,0.0307692308,0,0,0,0,0.000346939882,0,0,0,0,1,0,0,0,../datasets/spots/10218_1972-3-13_2015.jpg
35,43,0,0,0,0.00499131944,0,0,0,0,0.000196,0,0,0,0,1,0,../datasets/spots/1021_1968-07-27_2011.jpg
36,43,0,0,0,0.00708180708,0.00512163892,0,0,0,0.000256,0.000256,0,0,0,1,1,../datasets/spots/10221_1972-3-13_2015.jpg
37,43,0,0,0,0,0.0112404657,0,0,0,0,0.000255489022,0,0,0,0,1,../datasets/spots/10222_1972-3-13_2015.jpg
38,43,0,0,0.00284835365,0,0,0,0,0.000196,0,0,0,0,1,0,0,../datasets/spots/10223_1972-3-13_2015.jpg
39,43,0,0,0,0.0058183658,0,0,0,0,0.000256,0,0,0,0,1,0,../datasets/spots/10224_1972-3-13_2015.jpg
40,23,0,0,0,0.0039009498,0,0,0,0,0.000196,0,0,0,0,1,0,../datasets/spots/10228_1988-5-1_2011.jpg
41,43,0,0,0.00980392157,0,0,0,0,0.000209172871,0,0,0,0,2,0,0,../datasets/spots/1022_1942-04-28_1985.jpg
42,28,0,0,0,0.00873655914,0,0,0,0,0.000240903437,0,0,0,0,1,0,../datasets/spots/1023_1945-01-01_1973.jpg
43,27,0,0,0.00460737179,0,0,0,0,0.000303210317,0,0,0,0,1,0,0,../datasets/spots/10240_1977-7-13_2004.jpg
44,37,0,0.00940860215,0,0.00316255534,0,0,0.000196,0,0.000196,0,0,1,0,1,0,../datasets/spots/10245_1973-8-3_2010.jpg
45,28,0,0,0.00231073944,0,0,0,0,0.000196,0,0,0,0,1,0,0,../datasets/spots/10250_1986-4-9_2014.jpg
46,45,0,0,0.00289771081,0,0,0,0,0.000196,0,0,0,0,1,0,0,../datasets/spots/10266_1969-0-0_2014.jpg
47,38,0,0,0.0142450142,0,0,0,0,0.00048761556,0,0,0,0,1,0,0,../datasets/spots/10268_1969-10-10_2007.jpg
48,79,0,0,0.0126470588,0,0,0,0,0.00049382716,0,0,0,0,1,0,0,../datasets/spots/1026_1927-11-23_2006.jpg
49,38,0,0,0,0,0.0324074074,0,0,0,0,0.000256,0,0,0,0,1,../datasets/spots/10271_1976-4-27_2014.jpg
50,42,0,0.0126373626,0,0,0,0,0.000196,0,0,0,0,1,0,0,0,../datasets/spots/10276_1971-3-29_2013.jpg
51,39,0,0,0,0.0110887097,0,0,0,0,0.000196,0,0,0,0,2,0,../datasets/spots/10282_1975-3-20_2014.jpg
52,37,0,0,0,0,0.00515843773,0,0,0,0,0.000196,0,0,0,0,1,../datasets/spots/10284_1975-3-20_2012.jpg
53,41,0,0,0.00623973727,0,0,0,0,0.000403451569,0,0,0,0,1,0,0,../datasets/spots/10290_1973-12-28_2014.jpg
54,39,0,0,0.00334821429,0,0,0,0,0.000196,0,0,0,0,1,0,0,../datasets/spots/10291_1975-6-2_2014.jpg
55,41,0,0,0.00886524823,0.011402027,0,0,0,0.000364795045,0.000364795045,0,0,0,1,2,0,../datasets/spots/10294_1972-11-4_2013.jpg
56,21,0,0,0,0.0151515152,0,0,0,0,0.000256,0,0,0,0,1,0,../datasets/spots/10296_1990-5-16_2011.jpg
57,32,0,0,0,0.00535540409,0,0,0,0,0.000196,0,0,0,0,1,0,../datasets/spots/10299_1978-4-26_2010.jpg
58,36,0,0,0,0.00611932687,0,0,0,0,0.000196,0,0,0,0,1,0,../datasets/spots/10302_1978-4-26_2014.jpg
59,32,0,0,0,0.00638888889,0,0,0,0,0.000219478984,0,0,0,0,1,0,../datasets/spots/10312_1974-4-24_2006.jpg
60,24,0,0,0.0135577373,0,0,0,0,0.00101137485,0,0,0,0,1,0,0,../datasets/spots/10318_1984-3-7_2008.jpg
61,33,0,0,0.00609080842,0,0,0,0,0.000463905325,0,0,0,0,1,0,0,../datasets/spots/10333_1978-11-17_2011.jpg
62,39,0,0,0,0,0.00724637681,0,0,0,0,0.000196,0,0,0,0,1,../datasets/spots/10344_1975-5-4_2014.jpg
63,29,0,0,0,0.00974025974,0,0,0,0,0.000256,0,0,0,0,1,0,../datasets/spots/10347_1978-10-1_2007.jpg
