,Age,Density_Corner_Left_Eye,Density_Corner_Right_Eye,Density_Forehead,Density_Cheek_Left,Density_Cheek_Right,Depth_Corner_Left_Eye,Depth_Corner_Right_Eye,Depth_Forehead,Depth_Cheek_Left,Depth_Cheek_Right,Variance_Corner_Left_Eye,Variance_Corner_Right_Eye,Variance_Forehead,Variance_Cheek_Left,Variance_Cheek_Right,Spot_Density_Corner_Left_Eye,Spot_Density_Corner_Right_Eye,Spot_Density_Forehead,Spot_Density_Cheek_Left,Spot_Density_Cheek_Right,Max_Spot_Size_Corner_Left_Eye,Max_Spot_Size_Corner_Right_Eye,Max_Spot_Size_Forehead,Max_Spot_Size_Cheek_Left,Max_Spot_Size_Cheek_Right,Count_of_Spots_Corner_Left_Eye,Count_of_Spots_Corner_Right_Eye,Count_of_Spots_Forehead,Count_of_Spots_Cheek_Left,Count_of_Spots_Cheek_Right,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,path
0,41,0.579545455,0.631379962,0.17760394,0.36827957,0.397949674,0.274773098,0.300199165,0.209620086,0.236815479,0.244399571,0.201877553,0.226417618,0.105178721,0.145875911,0.152767035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.28,0.46,0.07,0.24,0.43,0.26,0.61,0.35,0.26,0.06,0.03,../datasets/wrinkles3/10000_1970-6-28_2011.jpg
1,52,0.727272727,0.29144385,0.0144859813,0.173076923,0.0758513932,0.325901486,0.220800353,0.283153606,0.237863398,0.221951888,0.269869574,0.12665891,0.0389345737,0.104537286,0.0771857255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.27,0.46,0.06,0.2,0.35,0.25,0.59,0.34,0.25,0.09,0.02,../datasets/wrinkles3/10002_1958-5-17_2010.jpg
2,56,0.724642301,0.724642301,0.504699248,0.710072595,0.739212008,1.083438682,0.441543855,0.274012493,0.738010908,0.518365789,0.952531865,0.379097688,0.184416046,0.551861078,0.409330446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.28,0.48,0.07,0.18,0.31,0.25,0.6,0.35,0.25,0.1,0.02,../datasets/wrinkles3/10004_1959-10-10_2015.jpg
3,40,0.13125,0.310249307,0.0635521886,0.155523256,0.0805555556,0.200047155,0.251103752,0.192105689,0.190574079,0.180635206,0.0972671824,0.136391859,0.080804269,0.0977788277,0.0786060649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.27,0.46,0.07,0.21,0.41,0.26,0.59,0.33,0.26,0.07,0.03,../datasets/wrinkles3/10005_1959-10-10_1999.jpg
4,54,0.61328125,0.554285714,0.131141746,0.191123188,0.0754458162,0.253542297,0.294210113,0.219792569,0.230991923,0.205613491,0.193968305,0.206275342,0.0919922661,0.105985045,0.0745697027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.28,0.46,0.06,0.22,0.48,0.24,0.6,0.35,0.24,0.05,0.03,../datasets/wrinkles3/10006_1959-10-10_2013.jpg
5,40,0.79047619,0.61025641,0.260286225,0.404882155,0.275252525,0.367446056,0.315490068,0.21404122,0.261823996,0.258838606,0.313301047,0.228875273,0.119661187,0.159196734,0.133049546,0,0,0.00655933214,0,0,0,0,0.0004,0,0,0,0,1,0,0,0.63,0.27,0.46,0.07,0.21,0.4,0.27,0.6,0.33,0.27,0.08,0.03,../datasets/wrinkles3/10007_1959-10-10_1999.jpg
6,53,0.2909699,0.478125,0.238559322,0.174048174,0.45943098,0.306277184,0.308605066,0.225951262,0.210151167,0.305319742,0.15031869,0.19096116,0.119387854,0.100697,0.187991252,0,0,0.00550847458,0,0,0,0,0.000324,0,0,0,0,1,0,0,0.62,0.28,0.45,0.06,0.2,0.37,0.26,0.6,0.33,0.26,0.08,0.03,../datasets/wrinkles3/10008_1959-10-10_2012.jpg
7,18,0.214189189,0.325670498,0.373572821,0.0350877193,0.0860585198,0.419344051,0.296578902,0.401204002,0.207647675,0.186467647,0.138007157,0.154535516,0.187710652,0.0701074409,0.0855884479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.26,0.44,0.06,0.21,0.41,0.28,0.59,0.3,0.28,0.06,0.03,../datasets/wrinkles3/10009_1950-6-30_1968.jpg
8,51,0.712727273,0.778846154,0.702260459,0.775124378,0.586805556,0.318094186,0.393470296,0.416374265,0.355225568,0.275084223,0.254972583,0.328825183,0.321116475,0.298548074,0.201930111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.27,0.46,0.07,0.22,0.41,0.27,0.61,0.34,0.27,0.07,0.03,../datasets/wrinkles3/1000_1892-09-30_1943.jpg
9,48,0.604278075,0.603815937,0.0606715426,0.196466646,0.108956602,0.29332443,0.335623544,0.231807081,0.244574448,0.231845139,0.213107703,0.238906725,0.0669520354,0.110205128,0.0863193651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.28,0.47,0.06,0.24,0.5,0.25,0.6,0.35,0.25,0.06,0.03,../datasets/wrinkles3/10010_1966-4-16_2014.jpg
