,Age,F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,F9,path
0,8,0.6,0.28,0.09,0.09,0.25,0.44,0.07,0.17,0.34,0.28,0.64,0.36,./results/001A08.JPG
1,14,0.6,0.27,0.07,0.07,0.25,0.43,0.07,0.18,0.35,0.27,0.59,0.32,./results/001A14.JPG
2,29,0.61,0.28,0.08,0.08,0.26,0.45,0.07,0.2,0.39,0.28,0.65,0.37,./results/001A29.JPG
3,15,0.63,0.25,0.07,0.07,0.26,0.45,0.08,0.18,0.36,0.25,0.54,0.29,./results/002A15.JPG
4,26,0.6,0.26,0.04,0.04,0.26,0.43,0.06,0.21,0.5,0.26,0.63,0.37,./results/002A26.JPG
5,38,0.63,0.29,0.09,0.09,0.25,0.45,0.07,0.17,0.4,0.29,0.74,0.45,./results/002A38.JPG
6,49,0.62,0.28,0.08,0.08,0.26,0.45,0.07,0.21,0.38,0.28,0.63,0.36,./results/003A49.JPG
7,58,0.64,0.33,0.1,0.1,0.27,0.47,0.07,0.2,0.4,0.33,0.73,0.41,./results/003A58.JPG
8,48,0.64,0.28,0.08,0.08,0.28,0.47,0.07,0.22,0.43,0.28,0.61,0.34,./results/004A48.JPG
9,40,0.6,0.28,0.08,0.08,0.26,0.44,0.06,0.19,0.43,0.28,0.64,0.36,./results/005A40.JPG
10,28,0.61,0.24,0.06,0.06,0.25,0.44,0.06,0.2,0.42,0.24,0.59,0.35,./results/006A28.JPG
11,67,0.58,0.27,0.09,0.09,0.25,0.42,0.06,0.2,0.35,0.27,0.65,0.38,./results/006A67.JPG
12,22,0.62,0.25,0.08,0.08,0.26,0.45,0.07,0.19,0.34,0.25,0.56,0.31,./results/007A22.JPG
13,45,0.61,0.27,0.07,0.07,0.26,0.44,0.07,0.21,0.37,0.27,0.59,0.32,./results/007A45.JPG
14,8,0.62,0.26,0.08,0.08,0.25,0.44,0.07,0.16,0.31,0.26,0.56,0.3,./results/008A08.JPG
15,33,0.63,0.25,0.05,0.05,0.26,0.45,0.07,0.18,0.42,0.25,0.58,0.33,./results/008A33.JPG
16,9,0.61,0.27,0.08,0.08,0.25,0.44,0.07,0.17,0.36,0.27,0.59,0.32,./results/009A09.JPG
17,6,0.64,0.25,0.06,0.06,0.26,0.45,0.07,0.18,0.39,0.25,0.51,0.26,./results/010A06.JPG
18,18,0.65,0.29,0.06,0.06,0.26,0.47,0.08,0.2,0.41,0.29,0.61,0.32,./results/010A18.JPG
19,13,0.63,0.25,0.08,0.08,0.27,0.45,0.07,0.17,0.33,0.25,0.6,0.35,./results/011A13.JPG
20,14,0.65,0.27,0.08,0.08,0.27,0.47,0.07,0.19,0.35,0.27,0.61,0.35,./results/011A14.JPG
