,Age,F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,F9,path
0,2,0.63,0.29,0.07,0.07,0.25,0.45,0.08,0.19,0.34,0.29,0.63,0.34,./results/001A02.JPG
1,5,0.61,0.33,0.09,0.09,0.26,0.44,0.07,0.19,0.4,0.33,0.78,0.45,./results/001A05.JPG
2,8,0.6,0.28,0.09,0.09,0.25,0.44,0.07,0.17,0.34,0.28,0.64,0.36,./results/001A08.JPG
3,10,0.62,0.25,0.08,0.08,0.26,0.45,0.07,0.17,0.32,0.25,0.56,0.31,./results/001A10.JPG
4,14,0.6,0.27,0.07,0.07,0.25,0.43,0.07,0.18,0.35,0.27,0.59,0.32,./results/001A14.JPG
5,18,0.62,0.3,0.08,0.08,0.27,0.45,0.07,0.23,0.49,0.3,0.73,0.44,./results/001A18.JPG
6,22,0.59,0.28,0.1,0.1,0.26,0.43,0.07,0.19,0.34,0.28,0.69,0.41,./results/001A22.JPG
7,28,0.6,0.31,0.09,0.09,0.26,0.44,0.07,0.2,0.38,0.31,0.71,0.4,./results/001A28.JPG
8,29,0.61,0.28,0.08,0.08,0.26,0.45,0.07,0.2,0.39,0.28,0.65,0.37,./results/001A29.JPG
9,33,0.62,0.31,0.09,0.09,0.26,0.45,0.07,0.22,0.38,0.31,0.71,0.4,./results/001A33.JPG
10,40,0.59,0.26,0.06,0.06,0.26,0.43,0.07,0.23,0.39,0.26,0.56,0.31,./results/001A40.JPG
11,43,0.62,0.33,0.1,0.1,0.27,0.45,0.07,0.22,0.39,0.33,0.77,0.44,./results/001A43a.JPG
12,43,0.6,0.31,0.09,0.09,0.26,0.44,0.07,0.2,0.37,0.31,0.76,0.45,./results/001A43b.JPG
13,3,0.6,0.22,0.06,0.06,0.25,0.43,0.07,0.18,0.42,0.22,0.55,0.34,./results/002A03.JPG
14,5,0.6,0.27,0.09,0.09,0.25,0.43,0.07,0.16,0.32,0.27,0.66,0.39,./results/002A05.JPG
15,7,0.63,0.3,0.07,0.07,0.26,0.45,0.07,0.2,0.45,0.3,0.71,0.42,./results/002A07.JPG
16,12,0.64,0.27,0.08,0.08,0.26,0.46,0.07,0.17,0.37,0.27,0.62,0.35,./results/002A12.JPG
17,15,0.63,0.25,0.07,0.07,0.26,0.45,0.08,0.18,0.36,0.25,0.54,0.29,./results/002A15.JPG
18,16,0.63,0.32,0.08,0.08,0.26,0.45,0.07,0.19,0.38,0.32,0.68,0.37,./results/002A16.JPG
