,Age,F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,F9,path
0,25,0.97,0.41,0.28,0.09,0.58,0.23,0.41,0.06,0.15,0.32,0.28,0.7,./result/10005947_1981-04-07_2006.jpg
1,73,1.05,0.52,0.38,0.09,0.69,0.3,0.5,0.07,0.23,0.53,0.38,0.9,./result/1005079_1937-09-06_2010.jpg
2,28,0.94,0.43,0.35,0.05,0.62,0.27,0.45,0.07,0.19,0.46,0.35,0.79,./result/10080646_1986-08-08_2014.jpg
3,45,0.98,0.38,0.35,0.1,0.58,0.27,0.43,0.06,0.19,0.34,0.35,0.73,./result/101393_1967-10-04_2012.jpg
4,42,0.87,0.41,0.35,0.03,0.57,0.22,0.4,0.06,0.22,0.48,0.35,0.76,./result/1014986_1972-10-29_2014.jpg
5,40,1.04,0.46,0.41,0.08,0.7,0.29,0.51,0.08,0.24,0.44,0.41,0.87,./result/1016686_1913-08-23_1953.jpg
6,35,0.95,0.45,0.35,0.09,0.57,0.25,0.42,0.06,0.17,0.35,0.35,0.8,./result/1022683_1974-08-30_2009.jpg
7,34,1.01,0.55,0.31,0.13,0.63,0.26,0.46,0.07,0.21,0.43,0.31,0.86,./result/1023196_1922-03-07_1956.jpg
8,23,1.05,0.51,0.38,0.11,0.64,0.27,0.46,0.07,0.19,0.42,0.38,0.88,./result/10233725_1962-02-20_1985.jpg
9,44,1.02,0.48,0.3,0.11,0.59,0.26,0.43,0.06,0.18,0.42,0.3,0.78,./result/1024055_1971-08-12_2015.jpg
10,37,0.92,0.51,0.32,0.1,0.56,0.24,0.4,0.06,0.19,0.41,0.32,0.82,./result/10253596_1977-10-05_2014.jpg
11,51,0.9,0.41,0.32,0.04,0.55,0.24,0.4,0.06,0.17,0.44,0.32,0.73,./result/102592_1961-01-13_2012.jpg
12,43,0.9,0.45,0.33,0.1,0.58,0.26,0.42,0.06,0.17,0.31,0.33,0.78,./result/1028629_1968-03-09_2011.jpg
13,57,0.98,0.43,0.32,0.09,0.57,0.28,0.43,0.05,0.19,0.42,0.32,0.74,./result/1033604_1955-10-11_2012.jpg
