,Age,Density Corner Left Eye,Density Corner Right Eye,Density Forehead,Density Cheek Left,Density Cheek Right,Depth Corner Left Eye,Depth Corner Right Eye,Depth Forehead,Depth Cheek Left,Depth Cheek Right,Variance Corner Left Eye,Variance Corner Right Eye,Variance Forehead,Variance Cheek Left,Variance Cheek Right,path
0,41,0.579545455,0.631379962,0.17760394,0.36827957,0.397949674,0.274773098,0.300199165,0.209620086,0.236815479,0.244399571,0.201877553,0.226417618,0.105178721,0.145875911,0.152767035,.\resultss\10000_1970-6-28_2011.jpg
1,52,0.626666667,0.183946488,0.009589237,0.118461538,0.044645551,0.297103441,0.205686835,0.262226525,0.223582567,0.226170475,0.225984285,0.103180933,0.032537953,0.085960302,0.065152378,.\resultss\10002_1958-5-17_2010.jpg
2,56,0.719014649,0.68779124,0.398784195,0.677345538,0.760683761,0.741806949,0.366950514,0.25452208,0.675396219,0.51154079,0.646017417,0.283188669,0.154820322,0.487682282,0.412973409,.\resultss\10004_1959-10-10_2015.jpg
3,54,0.61328125,0.554285714,0.131141746,0.191123188,0.075445816,0.253542297,0.294210113,0.219792569,0.230991923,0.205613491,0.193968305,0.206275342,0.091992266,0.105985045,0.074569703,.\resultss\10006_1959-10-10_2013.jpg
4,40,0.638888889,0.431077694,0.121130952,0.234126984,0.141858553,0.279160514,0.273259413,0.200332222,0.232381862,0.245315494,0.215527169,0.162808602,0.091234008,0.11615126,0.098758495,.\resultss\10007_1959-10-10_1999.jpg
5,53,0.2909699,0.478125,0.238559322,0.174048174,0.45943098,0.306277184,0.308605066,0.225951262,0.210151167,0.305319742,0.15031869,0.19096116,0.119387854,0.100697,0.187991252,.\resultss\10008_1959-10-10_2012.jpg
6,18,0.214189189,0.325670498,0.373572821,0.035087719,0.08605852,0.419344051,0.296578902,0.401204002,0.207647675,0.186467647,0.138007157,0.154535516,0.187710652,0.070107441,0.085588448,.\resultss\10009_1950-6-30_1968.jpg
7,51,0.622188906,0.686904762,0.600077479,0.684981685,0.461979914,0.281679335,0.313595604,0.381262715,0.310771586,0.246245221,0.212200826,0.247374655,0.266455806,0.24427229,0.164408584,.\resultss\1000_1892-09-30_1943.jpg
8,48,0.604278075,0.603815937,0.060671543,0.196466646,0.108956602,0.29332443,0.335623544,0.231807081,0.244574448,0.231845139,0.213107703,0.238906725,0.066952035,0.110205128,0.086319365,.\resultss\10010_1966-4-16_2014.jpg
9,38,0.094508301,0.160095579,0.01083864,0.096333333,0.04,0.208202055,0.466304761,0.295128911,0.215555378,0.229762284,0.081301265,0.103980197,0.037450401,0.088606616,0.047275311,.\resultss\10011_1977-9-1_2015.jpg
