,Age,F9,F10,F11,F12,F1,F2,F3,F4,F5,F6,F7,F8,path
3,58,0.32,0.27,0.09,0.02,0.61,0.26,0.45,0.07,0.17,0.32,0.27,0.58,.\resultss\10003_1932-6-6_1990.jpg
9,18,0.3,0.28,0.06,0.03,0.6,0.26,0.44,0.06,0.21,0.41,0.28,0.59,.\resultss\10009_1950-6-30_1968.jpg
12,38,0.32,0.25,0.09,0.02,0.63,0.25,0.45,0.07,0.16,0.32,0.25,0.58,.\resultss\10011_1977-9-1_2015.jpg
13,29,0.4,0.23,0.07,0.02,0.65,0.28,0.47,0.07,0.18,0.42,0.23,0.62,.\resultss\10012_1977-9-1_2006.jpg
14,62,0.33,0.25,0.08,0.02,0.64,0.27,0.46,0.06,0.19,0.36,0.25,0.58,.\resultss\10013_1948-2-5_2010.jpg
15,63,0.32,0.27,0.05,0.03,0.6,0.25,0.43,0.06,0.24,0.45,0.27,0.59,.\resultss\10014_1948-2-5_2011.jpg
17,67,0.32,0.25,0.09,0.03,0.59,0.25,0.42,0.07,0.21,0.34,0.25,0.58,.\resultss\10016_1948-2-5_2015.jpg
19,74,0.37,0.23,0.05,0.02,0.61,0.26,0.44,0.06,0.21,0.48,0.23,0.61,.\resultss\10018_1939-9-18_2013.jpg
20,74,0.38,0.24,0.08,0.02,0.59,0.25,0.43,0.06,0.17,0.34,0.24,0.62,.\resultss\10019_1939-9-18_2013.jpg
23,35,0.35,0.25,0.08,0.02,0.61,0.26,0.44,0.07,0.17,0.32,0.25,0.61,.\resultss\10021_1953-0-0_1988.jpg
24,29,0.4,0.23,0.08,0.02,0.62,0.27,0.45,0.07,0.18,0.37,0.23,0.63,.\resultss\10022_1957-3-27_1986.jpg
26,29,0.33,0.27,0.07,0.03,0.61,0.25,0.44,0.06,0.21,0.38,0.27,0.6,.\resultss\10024_1947-8-22_1976.jpg
27,29,0.3,0.28,0.07,0.03,0.65,0.27,0.47,0.07,0.19,0.38,0.28,0.58,.\resultss\10025_1947-8-22_1976.jpg
28,66,0.34,0.24,0.05,0.02,0.64,0.28,0.47,0.06,0.21,0.47,0.24,0.57,.\resultss\10026_1947-8-22_2013.jpg
30,36,0.38,0.23,0.06,0.03,0.61,0.26,0.45,0.06,0.25,0.47,0.23,0.61,.\resultss\10028_1966-3-14_2002.jpg
35,32,0.36,0.24,0.05,0.03,0.63,0.27,0.45,0.06,0.22,0.48,0.24,0.61,.\resultss\10032_1981-8-5_2013.jpg
50,31,0.34,0.27,0.08,0.02,0.59,0.25,0.42,0.06,0.19,0.35,0.27,0.61,.\resultss\10046_1980-9-9_2011.jpg
56,71,0.36,0.22,0.06,0.03,0.63,0.28,0.46,0.06,0.23,0.45,0.22,0.58,.\resultss\10051_1940-9-19_2011.jpg
57,55,0.32,0.27,0.08,0.02,0.58,0.24,0.42,0.07,0.16,0.31,0.27,0.59,.\resultss\10052_1940-9-19_1995.jpg
58,47,0.32,0.25,0.05,0.03,0.67,0.29,0.49,0.07,0.24,0.52,0.25,0.57,.\resultss\10053_1968-8-1_2015.jpg
63,38,0.36,0.24,0.09,0.02,0.59,0.26,0.43,0.06,0.19,0.35,0.24,0.61,.\resultss\10058_1964-0-0_2002.jpg
65,30,0.3,0.27,0.08,0.03,0.65,0.27,0.47,0.07,0.19,0.32,0.27,0.57,.\resultss\1005_1981-07-14_2011.jpg
66,54,0.33,0.25,0.06,0.03,0.65,0.28,0.48,0.07,0.24,0.5,0.25,0.58,.\resultss\10060_1961-10-30_2015.jpg
67,53,0.39,0.23,0.06,0.03,0.65,0.28,0.47,0.07,0.23,0.46,0.23,0.63,.\resultss\10061_1961-10-30_2014.jpg
68,36,0.37,0.24,0.04,0.03,0.64,0.28,0.46,0.06,0.22,0.5,0.24,0.61,.\resultss\10062_1969-8-27_2005.jpg
70,40,0.33,0.26,0.06,0.02,0.61,0.24,0.43,0.07,0.18,0.38,0.26,0.59,.\resultss\10064_1973-7-3_2013.jpg
74,38,0.31,0.28,0.07,0.03,0.63,0.28,0.46,0.07,0.23,0.42,0.28,0.59,.\resultss\10068_1973-7-3_2011.jpg
76,49,0.34,0.26,0.07,0.03,0.66,0.28,0.47,0.07,0.25,0.46,0.26,0.61,.\resultss\1006_1964-02-21_2013.jpg
77,44,0.36,0.24,0.08,0.02,0.6,0.26,0.44,0.07,0.19,0.36,0.24,0.6,.\resultss\10070_1966-1-20_2010.jpg
78,49,0.36,0.24,0.09,0.02,0.61,0.26,0.44,0.07,0.2,0.37,0.24,0.6,.\resultss\10071_1966-1-20_2015.jpg
80,64,0.34,0.25,0.08,0.02,0.61,0.26,0.44,0.07,0.19,0.35,0.25,0.59,.\resultss\10073_1946-6-3_2010.jpg
83,73,0.35,0.24,0.05,0.02,0.63,0.26,0.46,0.06,0.2,0.47,0.24,0.59,.\resultss\10076_1937-8-6_2010.jpg
85,36,0.29,0.25,0.03,0.03,0.66,0.28,0.48,0.07,0.22,0.49,0.25,0.54,.\resultss\10078_1977-12-17_2013.jpg
86,36,0.29,0.25,0.03,0.03,0.66,0.28,0.48,0.07,0.22,0.48,0.25,0.54,.\resultss\10079_1977-12-17_2013.jpg
87,53,0.32,0.26,0.06,0.03,0.66,0.29,0.48,0.07,0.19,0.44,0.26,0.58,.\resultss\1007_1960-09-15_2013.jpg
88,36,0.37,0.24,0.09,0.02,0.62,0.25,0.45,0.07,0.17,0.33,0.24,0.61,.\resultss\10080_1977-12-17_2013.jpg
90,36,0.33,0.24,0.06,0.02,0.64,0.27,0.46,0.08,0.17,0.4,0.24,0.57,.\resultss\10082_1977-12-17_2013.jpg
91,38,0.36,0.23,0.04,0.03,0.6,0.26,0.44,0.06,0.22,0.52,0.23,0.59,.\resultss\10083_1973-2-2_2011.jpg
92,29,0.36,0.25,0.04,0.03,0.6,0.26,0.44,0.06,0.22,0.49,0.25,0.61,.\resultss\10084_1973-2-2_2002.jpg
95,48,0.35,0.27,0.09,0.03,0.64,0.28,0.47,0.06,0.23,0.36,0.27,0.62,.\resultss\10087_1957-2-19_2005.jpg
97,37,0.33,0.25,0.07,0.02,0.65,0.26,0.46,0.08,0.16,0.35,0.25,0.57,.\resultss\10089_1976-7-17_2013.jpg
98,46,0.4,0.24,0.08,0.02,0.6,0.27,0.45,0.07,0.2,0.45,0.24,0.63,.\resultss\1008_1968-06-06_2014.jpg
99,53,0.36,0.23,0.08,0.02,0.6,0.26,0.43,0.06,0.18,0.37,0.23,0.59,.\resultss\10090_1961-3-29_2014.jpg
100,53,0.36,0.26,0.07,0.03,0.65,0.27,0.47,0.07,0.21,0.44,0.26,0.61,.\resultss\10091_1961-3-29_2014.jpg
101,35,0.29,0.25,0.07,0.02,0.6,0.25,0.43,0.07,0.16,0.34,0.25,0.53,.\resultss\10092_1961-3-29_1996.jpg
102,50,0.31,0.25,0.04,0.02,0.64,0.26,0.46,0.07,0.2,0.47,0.25,0.55,.\resultss\10093_1961-3-29_2011.jpg
103,53,0.37,0.25,0.05,0.03,0.58,0.26,0.43,0.05,0.22,0.46,0.25,0.62,.\resultss\10094_1961-3-29_2014.jpg
106,44,0.36,0.24,0.09,0.02,0.59,0.25,0.43,0.07,0.19,0.36,0.24,0.6,.\resultss\10097_1918-5-15_1962.jpg
107,73,0.36,0.24,0.05,0.03,0.59,0.26,0.42,0.05,0.24,0.5,0.24,0.6,.\resultss\10098_1940-1-0_2013.jpg
108,26,0.34,0.26,0.05,0.03,0.63,0.27,0.46,0.06,0.21,0.48,0.26,0.6,.\resultss\10099_1968-6-4_1994.jpg
111,26,0.3,0.26,0.08,0.02,0.64,0.26,0.46,0.07,0.17,0.34,0.26,0.56,.\resultss\10100_1980-1-20_2006.jpg
112,49,0.37,0.24,0.08,0.02,0.59,0.25,0.43,0.06,0.19,0.35,0.24,0.61,.\resultss\10101_1962-3-9_2011.jpg
125,23,0.32,0.25,0.05,0.03,0.61,0.26,0.44,0.06,0.22,0.47,0.25,0.57,.\resultss\10113_1991-11-15_2014.jpg
126,20,0.32,0.24,0.05,0.02,0.65,0.28,0.47,0.07,0.2,0.46,0.24,0.57,.\resultss\10114_1991-11-15_2011.jpg
127,19,0.3,0.27,0.04,0.03,0.65,0.27,0.47,0.07,0.2,0.43,0.27,0.57,.\resultss\10115_1991-11-15_2010.jpg
129,23,0.32,0.24,0.05,0.02,0.61,0.26,0.44,0.06,0.18,0.44,0.24,0.56,.\resultss\10117_1991-11-15_2014.jpg
130,18,0.32,0.26,0.05,0.02,0.63,0.26,0.46,0.06,0.19,0.42,0.26,0.58,.\resultss\10118_1991-11-15_2009.jpg
132,29,0.3,0.27,0.04,0.03,0.69,0.28,0.49,0.07,0.21,0.46,0.27,0.57,.\resultss\1011_1985-05-07_2014.jpg
133,28,0.33,0.24,0.04,0.03,0.64,0.27,0.46,0.07,0.21,0.47,0.24,0.58,.\resultss\10120_1984-12-17_2012.jpg
134,36,0.33,0.24,0.06,0.02,0.57,0.25,0.41,0.05,0.21,0.39,0.24,0.57,.\resultss\10121_1976-8-2_2012.jpg
135,65,0.4,0.22,0.06,0.02,0.59,0.27,0.43,0.06,0.22,0.47,0.22,0.62,.\resultss\10122_1950-8-11_2015.jpg
137,37,0.32,0.28,0.05,0.04,0.65,0.27,0.47,0.06,0.25,0.5,0.28,0.6,.\resultss\10124_1974-4-18_2011.jpg
139,49,0.37,0.25,0.05,0.03,0.63,0.28,0.46,0.06,0.24,0.53,0.25,0.62,.\resultss\10126_1965-12-7_2014.jpg
142,43,0.33,0.25,0.06,0.03,0.61,0.25,0.44,0.06,0.22,0.47,0.25,0.58,.\resultss\10129_1943-8-2_1986.jpg
143,73,0.34,0.24,0.05,0.03,0.64,0.28,0.46,0.06,0.22,0.46,0.24,0.58,.\resultss\1012_1933-11-05_2006.jpg
146,24,0.36,0.23,0.06,0.02,0.62,0.26,0.44,0.06,0.18,0.42,0.23,0.58,.\resultss\10132_1960-11-24_1984.jpg
147,56,0.36,0.26,0.06,0.03,0.63,0.27,0.46,0.07,0.23,0.51,0.26,0.62,.\resultss\10133_1959-10-23_2015.jpg
148,55,0.37,0.25,0.06,0.03,0.59,0.26,0.44,0.06,0.23,0.48,0.25,0.62,.\resultss\10134_1959-10-23_2014.jpg
157,66,0.37,0.25,0.07,0.02,0.59,0.25,0.43,0.06,0.2,0.41,0.25,0.62,.\resultss\10142_1947-5-18_2013.jpg
159,41,0.29,0.28,0.07,0.03,0.61,0.26,0.44,0.06,0.19,0.34,0.28,0.56,.\resultss\10144_1972-0-0_2013.jpg
160,41,0.31,0.28,0.08,0.02,0.62,0.26,0.45,0.07,0.17,0.32,0.28,0.58,.\resultss\10145_1972-0-0_2013.jpg
161,44,0.34,0.25,0.05,0.02,0.64,0.26,0.46,0.07,0.18,0.47,0.25,0.59,.\resultss\10146_1970-2-19_2014.jpg
162,42,0.36,0.24,0.06,0.02,0.63,0.27,0.46,0.07,0.16,0.42,0.24,0.6,.\resultss\10147_1970-2-19_2012.jpg
163,17,0.34,0.24,0.07,0.02,0.61,0.26,0.44,0.07,0.18,0.34,0.24,0.58,.\resultss\10148_1971-4-28_1988.jpg
164,31,0.36,0.25,0.08,0.03,0.6,0.26,0.44,0.06,0.22,0.41,0.25,0.61,.\resultss\10149_1947-9-6_1978.jpg
167,61,0.3,0.27,0.06,0.03,0.64,0.26,0.46,0.07,0.19,0.35,0.27,0.57,.\resultss\10151_1945-11-12_2006.jpg
168,61,0.33,0.26,0.06,0.03,0.66,0.28,0.48,0.07,0.25,0.45,0.26,0.6,.\resultss\10152_1945-11-12_2006.jpg
170,39,0.36,0.24,0.04,0.03,0.65,0.29,0.47,0.07,0.23,0.48,0.24,0.6,.\resultss\10154_1972-5-7_2011.jpg
171,63,0.28,0.28,0.08,0.03,0.64,0.26,0.46,0.07,0.21,0.33,0.28,0.56,.\resultss\10155_1947-6-19_2010.jpg
174,43,0.35,0.26,0.06,0.03,0.6,0.27,0.44,0.06,0.21,0.42,0.26,0.61,.\resultss\10158_1971-8-22_2014.jpg
176,38,0.32,0.27,0.08,0.03,0.65,0.27,0.47,0.07,0.22,0.4,0.27,0.58,.\resultss\1015_1965-09-19_2003.jpg
178,51,0.3,0.24,0.08,0.02,0.65,0.27,0.47,0.07,0.17,0.35,0.24,0.54,.\resultss\10161_1941-5-17_1992.jpg
179,65,0.36,0.25,0.04,0.03,0.63,0.27,0.45,0.07,0.21,0.49,0.25,0.61,.\resultss\10162_1949-4-15_2014.jpg
181,38,0.37,0.23,0.04,0.02,0.63,0.27,0.45,0.06,0.19,0.47,0.23,0.6,.\resultss\10164_1974-5-15_2012.jpg
183,53,0.36,0.26,0.07,0.03,0.6,0.26,0.44,0.07,0.21,0.43,0.26,0.62,.\resultss\10166_1962-8-15_2015.jpg
185,35,0.32,0.25,0.08,0.02,0.62,0.27,0.45,0.07,0.17,0.35,0.25,0.57,.\resultss\10168_1975-3-17_2010.jpg
186,40,0.35,0.26,0.08,0.02,0.67,0.27,0.48,0.08,0.17,0.34,0.26,0.61,.\resultss\10170_1942-7-7_1982.jpg
187,27,0.32,0.26,0.08,0.02,0.61,0.25,0.44,0.07,0.17,0.35,0.26,0.58,.\resultss\10171_1984-9-19_2011.jpg
191,30,0.35,0.26,0.08,0.02,0.6,0.26,0.44,0.06,0.18,0.37,0.26,0.6,.\resultss\10175_1984-9-19_2014.jpg
192,30,0.37,0.24,0.05,0.02,0.66,0.28,0.47,0.07,0.19,0.49,0.24,0.61,.\resultss\10176_1981-2-5_2011.jpg
195,37,0.3,0.25,0.06,0.02,0.61,0.26,0.43,0.07,0.19,0.38,0.25,0.55,.\resultss\10179_1977-1-28_2014.jpg
199,27,0.38,0.25,0.09,0.03,0.66,0.29,0.48,0.07,0.21,0.41,0.25,0.63,.\resultss\10182_1985-9-16_2012.jpg
205,45,0.32,0.27,0.07,0.03,0.64,0.27,0.47,0.06,0.19,0.42,0.27,0.59,.\resultss\10188_1970-10-11_2015.jpg
206,45,0.33,0.26,0.08,0.02,0.63,0.27,0.46,0.07,0.19,0.35,0.26,0.59,.\resultss\10189_1970-10-11_2015.jpg
207,15,0.32,0.25,0.05,0.02,0.6,0.25,0.43,0.06,0.2,0.44,0.25,0.57,.\resultss\1018_1999-03-16_2014.jpg
208,45,0.31,0.25,0.07,0.02,0.67,0.29,0.48,0.07,0.18,0.42,0.25,0.56,.\resultss\10190_1970-10-11_2015.jpg
213,24,0.32,0.26,0.06,0.03,0.64,0.28,0.46,0.07,0.21,0.4,0.26,0.58,.\resultss\10195_1987-1-7_2011.jpg
216,34,0.3,0.24,0.03,0.02,0.65,0.28,0.47,0.07,0.2,0.47,0.24,0.54,.\resultss\10198_1978-6-29_2012.jpg
218,32,0.32,0.25,0.05,0.02,0.61,0.25,0.44,0.07,0.17,0.41,0.25,0.57,.\resultss\1019_1977-12-25_2009.jpg
220,32,0.45,0.23,0.09,0.02,0.6,0.26,0.44,0.07,0.17,0.37,0.23,0.68,.\resultss\10200_1975-7-26_2007.jpg
221,31,0.26,0.27,0.07,0.03,0.65,0.27,0.47,0.08,0.19,0.34,0.27,0.53,.\resultss\10201_1978-7-9_2009.jpg
226,20,0.33,0.25,0.07,0.02,0.67,0.28,0.48,0.08,0.18,0.35,0.25,0.58,.\resultss\10206_1991-3-8_2011.jpg
227,25,0.33,0.24,0.08,0.02,0.64,0.26,0.47,0.07,0.16,0.34,0.24,0.57,.\resultss\10207_1988-11-26_2013.jpg
228,23,0.33,0.24,0.08,0.02,0.67,0.28,0.48,0.08,0.18,0.36,0.24,0.57,.\resultss\10208_1988-11-26_2011.jpg
229,23,0.37,0.25,0.08,0.03,0.64,0.28,0.47,0.07,0.23,0.47,0.25,0.62,.\resultss\10209_1987-10-0_2010.jpg
231,27,0.38,0.24,0.06,0.02,0.6,0.26,0.44,0.06,0.2,0.46,0.24,0.62,.\resultss\10210_1978-8-31_2005.jpg
236,25,0.39,0.23,0.07,0.02,0.59,0.25,0.42,0.06,0.17,0.35,0.23,0.62,.\resultss\10215_1986-6-13_2011.jpg
237,29,0.32,0.26,0.07,0.02,0.67,0.28,0.49,0.08,0.17,0.35,0.26,0.58,.\resultss\10216_1986-6-13_2015.jpg
238,50,0.33,0.26,0.03,0.03,0.65,0.27,0.47,0.07,0.23,0.52,0.26,0.59,.\resultss\10217_1962-7-12_2012.jpg
239,43,0.28,0.27,0.08,0.03,0.64,0.28,0.46,0.07,0.21,0.36,0.27,0.55,.\resultss\10218_1972-3-13_2015.jpg
240,39,0.31,0.27,0.07,0.03,0.62,0.26,0.44,0.06,0.22,0.37,0.27,0.58,.\resultss\10219_1972-3-13_2011.jpg
241,43,0.37,0.24,0.08,0.03,0.62,0.28,0.45,0.06,0.23,0.44,0.24,0.61,.\resultss\1021_1968-07-27_2011.jpg
242,39,0.31,0.27,0.07,0.03,0.62,0.26,0.44,0.06,0.22,0.37,0.27,0.58,.\resultss\10220_1972-3-13_2011.jpg
243,43,0.41,0.23,0.08,0.03,0.62,0.28,0.46,0.06,0.22,0.46,0.23,0.64,.\resultss\10221_1972-3-13_2015.jpg
245,43,0.38,0.24,0.06,0.03,0.62,0.27,0.46,0.06,0.23,0.48,0.24,0.62,.\resultss\10223_1972-3-13_2015.jpg
246,43,0.38,0.23,0.06,0.03,0.62,0.27,0.45,0.06,0.23,0.49,0.23,0.62,.\resultss\10224_1972-3-13_2015.jpg
247,9,0.31,0.26,0.07,0.02,0.61,0.25,0.44,0.07,0.16,0.32,0.26,0.57,.\resultss\10225_2000-4-3_2009.jpg
249,33,0.31,0.26,0.06,0.03,0.6,0.27,0.44,0.06,0.21,0.38,0.26,0.57,.\resultss\10227_1974-10-28_2007.jpg
252,43,0.39,0.26,0.1,0.02,0.61,0.27,0.44,0.06,0.19,0.39,0.26,0.64,.\resultss\1022_1942-04-28_1985.jpg
253,36,0.33,0.24,0.08,0.02,0.63,0.27,0.45,0.06,0.19,0.33,0.24,0.57,.\resultss\10230_1978-6-2_2014.jpg
256,30,0.31,0.26,0.07,0.02,0.61,0.25,0.44,0.06,0.19,0.33,0.26,0.57,.\resultss\10233_1978-6-2_2008.jpg
258,33,0.37,0.23,0.06,0.02,0.61,0.26,0.44,0.06,0.2,0.4,0.23,0.6,.\resultss\10235_1978-6-2_2011.jpg
260,45,0.37,0.24,0.08,0.03,0.62,0.27,0.46,0.06,0.22,0.43,0.24,0.62,.\resultss\10237_1970-12-24_2015.jpg
261,42,0.32,0.28,0.07,0.03,0.67,0.28,0.49,0.07,0.22,0.42,0.28,0.59,.\resultss\10238_1966-0-0_2008.jpg
262,30,0.39,0.25,0.06,0.03,0.62,0.27,0.45,0.06,0.21,0.47,0.25,0.65,.\resultss\10239_1977-7-13_2007.jpg
263,28,0.28,0.27,0.05,0.03,0.64,0.28,0.46,0.06,0.22,0.39,0.27,0.55,.\resultss\1023_1945-01-01_1973.jpg
266,35,0.36,0.25,0.05,0.03,0.62,0.26,0.44,0.06,0.23,0.52,0.25,0.61,.\resultss\10242_1975-1-2_2010.jpg
267,43,0.38,0.23,0.05,0.02,0.63,0.27,0.46,0.07,0.2,0.51,0.23,0.61,.\resultss\10243_1970-9-7_2013.jpg
269,37,0.31,0.23,0.07,0.02,0.61,0.25,0.44,0.07,0.21,0.39,0.23,0.55,.\resultss\10245_1973-8-3_2010.jpg
270,39,0.39,0.24,0.09,0.02,0.63,0.26,0.45,0.07,0.2,0.38,0.24,0.63,.\resultss\10246_1973-8-3_2012.jpg
272,40,0.37,0.24,0.07,0.02,0.62,0.26,0.45,0.07,0.19,0.42,0.24,0.61,.\resultss\10248_1973-8-3_2013.jpg
279,25,0.32,0.27,0.05,0.03,0.67,0.28,0.48,0.07,0.22,0.45,0.27,0.59,.\resultss\10254_1986-4-9_2011.jpg
280,51,0.36,0.27,0.08,0.03,0.65,0.29,0.48,0.07,0.21,0.41,0.27,0.63,.\resultss\10255_1963-4-30_2014.jpg
286,24,0.35,0.28,0.07,0.03,0.64,0.28,0.47,0.06,0.21,0.41,0.28,0.63,.\resultss\10260_1989-7-21_2013.jpg
287,21,0.31,0.27,0.08,0.02,0.68,0.28,0.5,0.08,0.18,0.34,0.27,0.58,.\resultss\10261_1989-7-21_2010.jpg
290,24,0.37,0.24,0.08,0.02,0.64,0.27,0.46,0.07,0.18,0.35,0.24,0.61,.\resultss\10264_1989-7-21_2013.jpg
294,38,0.4,0.24,0.07,0.02,0.56,0.25,0.4,0.06,0.2,0.39,0.24,0.64,.\resultss\10268_1969-10-10_2007.jpg
295,28,0.3,0.24,0.06,0.02,0.65,0.28,0.47,0.07,0.18,0.39,0.24,0.54,.\resultss\10269_1982-5-15_2010.jpg
297,32,0.35,0.26,0.05,0.03,0.64,0.28,0.47,0.06,0.23,0.5,0.26,0.62,.\resultss\10270_1976-4-27_2008.jpg
301,32,0.33,0.26,0.08,0.02,0.6,0.27,0.44,0.06,0.19,0.34,0.26,0.58,.\resultss\10274_1975-2-15_2007.jpg
302,35,0.3,0.25,0.08,0.02,0.62,0.27,0.45,0.07,0.19,0.36,0.25,0.56,.\resultss\10275_1975-2-15_2010.jpg
303,42,0.31,0.25,0.06,0.02,0.61,0.25,0.43,0.07,0.17,0.39,0.25,0.55,.\resultss\10276_1971-3-29_2013.jpg
308,34,0.37,0.23,0.05,0.02,0.64,0.28,0.47,0.06,0.21,0.52,0.23,0.6,.\resultss\10280_1979-6-24_2013.jpg
316,33,0.37,0.25,0.06,0.03,0.6,0.26,0.44,0.06,0.22,0.48,0.25,0.62,.\resultss\10288_1979-10-20_2012.jpg
319,41,0.37,0.25,0.06,0.03,0.59,0.26,0.44,0.06,0.23,0.48,0.25,0.62,.\resultss\10290_1973-12-28_2014.jpg
321,46,0.36,0.25,0.08,0.03,0.63,0.28,0.46,0.06,0.22,0.45,0.25,0.62,.\resultss\10292_1968-5-4_2014.jpg
323,41,0.33,0.24,0.06,0.03,0.6,0.26,0.44,0.05,0.23,0.45,0.24,0.57,.\resultss\10294_1972-11-4_2013.jpg
326,37,0.3,0.27,0.07,0.02,0.65,0.26,0.47,0.08,0.17,0.33,0.27,0.57,.\resultss\10297_1978-4-26_2015.jpg
328,32,0.34,0.27,0.09,0.03,0.58,0.25,0.42,0.07,0.19,0.34,0.27,0.6,.\resultss\10299_1978-4-26_2010.jpg
329,28,0.28,0.29,0.07,0.03,0.65,0.28,0.47,0.08,0.21,0.35,0.29,0.57,.\resultss\1029_1985-09-22_2013.jpg
331,37,0.34,0.27,0.08,0.03,0.6,0.26,0.44,0.06,0.19,0.36,0.27,0.61,.\resultss\10300_1978-4-26_2015.jpg
332,34,0.37,0.25,0.08,0.02,0.57,0.25,0.42,0.06,0.19,0.41,0.25,0.62,.\resultss\10301_1978-4-26_2012.jpg
335,33,0.39,0.23,0.07,0.02,0.58,0.26,0.42,0.06,0.2,0.41,0.23,0.62,.\resultss\10304_1978-5-24_2011.jpg
336,33,0.37,0.24,0.05,0.03,0.61,0.27,0.45,0.06,0.22,0.5,0.24,0.61,.\resultss\10305_1978-5-24_2011.jpg
337,32,0.36,0.26,0.08,0.03,0.61,0.25,0.44,0.06,0.22,0.41,0.26,0.62,.\resultss\10306_1978-5-24_2010.jpg
338,37,0.36,0.26,0.06,0.03,0.6,0.26,0.44,0.06,0.21,0.43,0.26,0.62,.\resultss\10307_1978-5-24_2015.jpg
340,33,0.39,0.24,0.08,0.02,0.59,0.26,0.43,0.07,0.19,0.38,0.24,0.63,.\resultss\10309_1978-5-24_2011.jpg
342,35,0.33,0.26,0.08,0.02,0.66,0.27,0.47,0.08,0.17,0.36,0.26,0.59,.\resultss\10310_1967-4-12_2002.jpg
343,35,0.37,0.26,0.06,0.03,0.63,0.27,0.46,0.06,0.22,0.5,0.26,0.63,.\resultss\10311_1967-4-12_2002.jpg
345,29,0.3,0.28,0.09,0.03,0.59,0.25,0.42,0.06,0.18,0.3,0.28,0.58,.\resultss\10313_1980-6-17_2009.jpg
347,26,0.3,0.26,0.07,0.02,0.67,0.28,0.47,0.08,0.18,0.38,0.26,0.56,.\resultss\10315_1978-5-8_2004.jpg
349,24,0.32,0.24,0.06,0.02,0.65,0.27,0.47,0.07,0.17,0.39,0.24,0.56,.\resultss\10317_1978-5-8_2002.jpg
351,27,0.34,0.26,0.06,0.03,0.61,0.25,0.44,0.06,0.23,0.45,0.26,0.6,.\resultss\10319_1984-3-7_2011.jpg
