,Age,F9,F10,F11,F12,F1,F2,F3,F4,F5,F6,F7,F8,path
15,63,0.32,0.27,0.05,0.03,0.6,0.25,0.43,0.06,0.24,0.45,0.27,0.59,.\resultss\10014_1948-2-5_2011.jpg
20,74,0.38,0.24,0.08,0.02,0.59,0.25,0.43,0.06,0.17,0.34,0.24,0.62,.\resultss\10019_1939-9-18_2013.jpg
23,35,0.35,0.25,0.08,0.02,0.61,0.26,0.44,0.07,0.17,0.32,0.25,0.61,.\resultss\10021_1953-0-0_1988.jpg
30,36,0.38,0.23,0.06,0.03,0.61,0.26,0.45,0.06,0.25,0.47,0.23,0.61,.\resultss\10028_1966-3-14_2002.jpg
57,55,0.32,0.27,0.08,0.02,0.58,0.24,0.42,0.07,0.16,0.31,0.27,0.59,.\resultss\10052_1940-9-19_1995.jpg
63,38,0.36,0.24,0.09,0.02,0.59,0.26,0.43,0.06,0.19,0.35,0.24,0.61,.\resultss\10058_1964-0-0_2002.jpg
67,53,0.39,0.23,0.06,0.03,0.65,0.28,0.47,0.07,0.23,0.46,0.23,0.63,.\resultss\10061_1961-10-30_2014.jpg
68,36,0.37,0.24,0.04,0.03,0.64,0.28,0.46,0.06,0.22,0.5,0.24,0.61,.\resultss\10062_1969-8-27_2005.jpg
77,44,0.36,0.24,0.08,0.02,0.6,0.26,0.44,0.07,0.19,0.36,0.24,0.6,.\resultss\10070_1966-1-20_2010.jpg
87,53,0.32,0.26,0.06,0.03,0.66,0.29,0.48,0.07,0.19,0.44,0.26,0.58,.\resultss\1007_1960-09-15_2013.jpg
88,36,0.37,0.24,0.09,0.02,0.62,0.25,0.45,0.07,0.17,0.33,0.24,0.61,.\resultss\10080_1977-12-17_2013.jpg
90,36,0.33,0.24,0.06,0.02,0.64,0.27,0.46,0.08,0.17,0.4,0.24,0.57,.\resultss\10082_1977-12-17_2013.jpg
91,38,0.36,0.23,0.04,0.03,0.6,0.26,0.44,0.06,0.22,0.52,0.23,0.59,.\resultss\10083_1973-2-2_2011.jpg
99,53,0.36,0.23,0.08,0.02,0.6,0.26,0.43,0.06,0.18,0.37,0.23,0.59,.\resultss\10090_1961-3-29_2014.jpg
101,35,0.29,0.25,0.07,0.02,0.6,0.25,0.43,0.07,0.16,0.34,0.25,0.53,.\resultss\10092_1961-3-29_1996.jpg
102,50,0.31,0.25,0.04,0.02,0.64,0.26,0.46,0.07,0.2,0.47,0.25,0.55,.\resultss\10093_1961-3-29_2011.jpg
