,Age,F9,F10,F11,F12,F1,F2,F3,F4,F5,F6,F7,F8,path
0,41,0.35,0.26,0.06,0.03,0.64,0.28,0.46,0.07,0.24,0.43,0.26,0.61,.\resultss\10000_1970-6-28_2011.jpg
1,52,0.33,0.25,0.07,0.03,0.62,0.27,0.45,0.07,0.22,0.43,0.25,0.58,.\resultss\10001_1958-5-17_2010.jpg
2,52,0.34,0.25,0.09,0.02,0.63,0.27,0.46,0.06,0.2,0.35,0.25,0.59,.\resultss\10002_1958-5-17_2010.jpg
3,58,0.32,0.27,0.09,0.02,0.61,0.26,0.45,0.07,0.17,0.32,0.27,0.58,.\resultss\10003_1932-6-6_1990.jpg
4,56,0.35,0.25,0.1,0.02,0.66,0.28,0.48,0.07,0.18,0.31,0.25,0.6,.\resultss\10004_1959-10-10_2015.jpg
6,54,0.35,0.24,0.05,0.03,0.62,0.28,0.46,0.06,0.22,0.48,0.24,0.6,.\resultss\10006_1959-10-10_2013.jpg
7,40,0.33,0.27,0.08,0.03,0.63,0.27,0.46,0.07,0.21,0.4,0.27,0.6,.\resultss\10007_1959-10-10_1999.jpg
8,53,0.33,0.26,0.08,0.03,0.62,0.28,0.45,0.06,0.2,0.37,0.26,0.6,.\resultss\10008_1959-10-10_2012.jpg
9,18,0.3,0.28,0.06,0.03,0.6,0.26,0.44,0.06,0.21,0.41,0.28,0.59,.\resultss\10009_1950-6-30_1968.jpg
10,51,0.34,0.27,0.07,0.03,0.63,0.27,0.46,0.07,0.22,0.41,0.27,0.61,.\resultss\1000_1892-09-30_1943.jpg
11,48,0.35,0.25,0.06,0.03,0.64,0.28,0.47,0.06,0.24,0.5,0.25,0.6,.\resultss\10010_1966-4-16_2014.jpg
12,38,0.32,0.25,0.09,0.02,0.63,0.25,0.45,0.07,0.16,0.32,0.25,0.58,.\resultss\10011_1977-9-1_2015.jpg
13,29,0.4,0.23,0.07,0.02,0.65,0.28,0.47,0.07,0.18,0.42,0.23,0.62,.\resultss\10012_1977-9-1_2006.jpg
14,62,0.33,0.25,0.08,0.02,0.64,0.27,0.46,0.06,0.19,0.36,0.25,0.58,.\resultss\10013_1948-2-5_2010.jpg
15,63,0.32,0.27,0.05,0.03,0.6,0.25,0.43,0.06,0.24,0.45,0.27,0.59,.\resultss\10014_1948-2-5_2011.jpg
16,60,0.31,0.26,0.07,0.03,0.62,0.27,0.44,0.07,0.21,0.36,0.26,0.57,.\resultss\10015_1948-2-5_2008.jpg
17,67,0.32,0.25,0.09,0.03,0.59,0.25,0.42,0.07,0.21,0.34,0.25,0.58,.\resultss\10016_1948-2-5_2015.jpg
18,70,0.36,0.24,0.08,0.02,0.6,0.27,0.43,0.06,0.2,0.41,0.24,0.6,.\resultss\10017_1939-9-18_2009.jpg
19,74,0.37,0.23,0.05,0.02,0.61,0.26,0.44,0.06,0.21,0.48,0.23,0.61,.\resultss\10018_1939-9-18_2013.jpg
20,74,0.38,0.24,0.08,0.02,0.59,0.25,0.43,0.06,0.17,0.34,0.24,0.62,.\resultss\10019_1939-9-18_2013.jpg
21,30,0.34,0.26,0.06,0.03,0.65,0.27,0.47,0.07,0.2,0.44,0.26,0.6,.\resultss\1001_1983-09-24_2013.jpg
22,67,0.37,0.25,0.07,0.03,0.64,0.27,0.46,0.06,0.22,0.46,0.25,0.62,.\resultss\10020_1939-9-18_2006.jpg
23,35,0.35,0.25,0.08,0.02,0.61,0.26,0.44,0.07,0.17,0.32,0.25,0.61,.\resultss\10021_1953-0-0_1988.jpg
24,29,0.4,0.23,0.08,0.02,0.62,0.27,0.45,0.07,0.18,0.37,0.23,0.63,.\resultss\10022_1957-3-27_1986.jpg
25,29,0.38,0.25,0.1,0.02,0.65,0.27,0.47,0.07,0.19,0.36,0.25,0.63,.\resultss\10023_1947-8-22_1976.jpg
26,29,0.33,0.27,0.07,0.03,0.61,0.25,0.44,0.06,0.21,0.38,0.27,0.6,.\resultss\10024_1947-8-22_1976.jpg
27,29,0.3,0.28,0.07,0.03,0.65,0.27,0.47,0.07,0.19,0.38,0.28,0.58,.\resultss\10025_1947-8-22_1976.jpg
28,66,0.34,0.24,0.05,0.02,0.64,0.28,0.47,0.06,0.21,0.47,0.24,0.57,.\resultss\10026_1947-8-22_2013.jpg
29,24,0.32,0.26,0.06,0.03,0.62,0.28,0.45,0.06,0.21,0.41,0.26,0.58,.\resultss\10027_1981-7-28_2005.jpg
30,36,0.38,0.23,0.06,0.03,0.61,0.26,0.45,0.06,0.25,0.47,0.23,0.61,.\resultss\10028_1966-3-14_2002.jpg
31,30,0.35,0.26,0.07,0.03,0.62,0.27,0.45,0.06,0.23,0.43,0.26,0.6,.\resultss\10029_1981-8-5_2011.jpg
32,25,0.3,0.25,0.07,0.02,0.61,0.26,0.44,0.07,0.16,0.34,0.25,0.55,.\resultss\1002_1989-01-15_2014.jpg
33,31,0.36,0.25,0.08,0.02,0.61,0.27,0.44,0.06,0.19,0.35,0.25,0.61,.\resultss\10030_1981-8-5_2012.jpg
34,30,0.34,0.26,0.06,0.03,0.63,0.28,0.46,0.06,0.23,0.42,0.26,0.6,.\resultss\10031_1981-8-5_2011.jpg
35,32,0.36,0.24,0.05,0.03,0.63,0.27,0.45,0.06,0.22,0.48,0.24,0.61,.\resultss\10032_1981-8-5_2013.jpg
36,13,0.34,0.24,0.05,0.03,0.63,0.27,0.45,0.07,0.22,0.47,0.24,0.58,.\resultss\10033_1976-3-22_1989.jpg
37,13,0.35,0.25,0.05,0.03,0.62,0.27,0.45,0.06,0.25,0.48,0.25,0.59,.\resultss\10034_1976-3-22_1989.jpg
38,13,0.35,0.25,0.09,0.03,0.64,0.27,0.47,0.07,0.22,0.37,0.25,0.6,.\resultss\10035_1976-3-22_1989.jpg
39,13,0.32,0.24,0.06,0.03,0.64,0.26,0.46,0.07,0.21,0.47,0.24,0.56,.\resultss\10036_1976-3-22_1989.jpg
40,41,0.34,0.25,0.05,0.03,0.63,0.27,0.46,0.06,0.25,0.49,0.25,0.59,.\resultss\10037_1971-9-14_2012.jpg
41,46,0.38,0.23,0.07,0.03,0.61,0.26,0.45,0.06,0.25,0.48,0.23,0.61,.\resultss\10038_1966-11-22_2012.jpg
42,31,0.31,0.26,0.07,0.02,0.64,0.27,0.46,0.07,0.19,0.39,0.26,0.57,.\resultss\10039_1980-9-9_2011.jpg
43,55,0.37,0.25,0.08,0.02,0.62,0.27,0.45,0.06,0.19,0.37,0.25,0.62,.\resultss\1003_1911-03-04_1966.jpg
44,31,0.32,0.25,0.06,0.02,0.64,0.28,0.46,0.07,0.2,0.42,0.25,0.58,.\resultss\10040_1980-9-9_2011.jpg
45,18,0.34,0.26,0.08,0.03,0.62,0.26,0.45,0.07,0.2,0.37,0.26,0.6,.\resultss\10041_1980-9-9_1998.jpg
46,31,0.32,0.26,0.05,0.02,0.61,0.25,0.44,0.07,0.18,0.4,0.26,0.59,.\resultss\10042_1980-9-9_2011.jpg
47,31,0.34,0.25,0.05,0.02,0.63,0.28,0.45,0.07,0.19,0.44,0.25,0.59,.\resultss\10043_1980-9-9_2011.jpg
48,31,0.36,0.25,0.09,0.02,0.61,0.26,0.44,0.07,0.18,0.33,0.25,0.61,.\resultss\10044_1980-9-9_2011.jpg
49,29,0.32,0.25,0.06,0.03,0.64,0.27,0.46,0.07,0.2,0.4,0.25,0.57,.\resultss\10045_1980-9-9_2009.jpg
50,31,0.34,0.27,0.08,0.02,0.59,0.25,0.42,0.06,0.19,0.35,0.27,0.61,.\resultss\10046_1980-9-9_2011.jpg
51,21,0.33,0.25,0.07,0.02,0.64,0.26,0.46,0.07,0.18,0.38,0.25,0.58,.\resultss\10047_1980-9-9_2001.jpg
52,31,0.37,0.22,0.07,0.02,0.62,0.27,0.45,0.06,0.17,0.38,0.22,0.58,.\resultss\10048_1980-9-9_2011.jpg
53,44,0.35,0.26,0.07,0.02,0.6,0.27,0.44,0.07,0.18,0.36,0.26,0.6,.\resultss\10049_1968-7-26_2012.jpg
54,29,0.37,0.25,0.04,0.03,0.63,0.27,0.46,0.06,0.24,0.52,0.25,0.61,.\resultss\1004_1982-01-24_2011.jpg
