,Age,F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,F9,path
0,25,0.99,0.45,0.31,0.1,0.6,0.23,0.42,0.06,0.15,0.32,0.31,0.75,./results/10005947_1981-04-07_2006.jpg
1,73,0.99,0.46,0.34,0.08,0.65,0.28,0.47,0.06,0.22,0.5,0.34,0.79,./results/1005079_1937-09-06_2010.jpg
2,28,0.96,0.41,0.33,0.05,0.64,0.28,0.46,0.07,0.2,0.47,0.33,0.74,./results/10080646_1986-08-08_2014.jpg
3,45,0.99,0.36,0.33,0.1,0.58,0.27,0.43,0.06,0.19,0.34,0.33,0.7,./results/101393_1967-10-04_2012.jpg
4,42,1.01,0.41,0.36,0.03,0.66,0.25,0.47,0.07,0.25,0.56,0.36,0.77,./results/1014986_1972-10-29_2014.jpg
5,40,0.98,0.41,0.36,0.07,0.66,0.28,0.48,0.08,0.22,0.41,0.36,0.77,./results/1016686_1913-08-23_1953.jpg
6,35,0.98,0.42,0.33,0.08,0.59,0.25,0.43,0.06,0.18,0.36,0.33,0.75,./results/1022683_1974-08-30_2009.jpg
7,34,0.97,0.51,0.28,0.12,0.61,0.26,0.44,0.07,0.2,0.41,0.28,0.8,./results/1023196_1922-03-07_1956.jpg
8,23,0.98,0.46,0.34,0.1,0.6,0.25,0.43,0.06,0.18,0.39,0.34,0.79,./results/10233725_1962-02-20_1985.jpg
9,44,0.99,0.45,0.28,0.1,0.57,0.25,0.42,0.06,0.18,0.41,0.28,0.73,./results/1024055_1971-08-12_2015.jpg
10,37,0.97,0.5,0.31,0.1,0.59,0.25,0.43,0.06,0.21,0.44,0.31,0.81,./results/10253596_1977-10-05_2014.jpg
11,51,0.98,0.4,0.31,0.03,0.6,0.26,0.43,0.07,0.18,0.48,0.31,0.71,./results/102592_1961-01-13_2012.jpg
12,43,0.99,0.46,0.33,0.1,0.63,0.29,0.47,0.07,0.18,0.34,0.33,0.79,./results/1028629_1968-03-09_2011.jpg
13,57,0.97,0.41,0.3,0.08,0.57,0.27,0.42,0.05,0.19,0.41,0.3,0.71,./results/1033604_1955-10-11_2012.jpg
14,80,0.99,0.43,0.28,0.04,0.58,0.24,0.42,0.05,0.19,0.39,0.28,0.71,./results/1036650_1918-05-28_1998.jpg
15,68,0.98,0.47,0.33,0.11,0.56,0.25,0.41,0.06,0.21,0.33,0.33,0.8,./results/1041338_1945-03-14_2013.jpg
16,43,0.98,0.45,0.29,0.11,0.63,0.26,0.46,0.06,0.21,0.37,0.29,0.74,./results/1045735_1968-07-19_2011.jpg
17,50,0.99,0.42,0.33,0.08,0.62,0.26,0.45,0.08,0.19,0.45,0.33,0.74,./results/1049646_1961-02-11_2011.jpg
18,26,0.98,0.33,0.34,0.06,0.64,0.28,0.46,0.07,0.24,0.42,0.34,0.68,./results/10499481_1916-03-22_1942.jpg
19,77,0.98,0.44,0.31,0.12,0.58,0.27,0.44,0.06,0.18,0.33,0.31,0.75,./results/10540349_1916-12-23_1993.jpg
20,34,0.98,0.41,0.36,0.1,0.62,0.25,0.44,0.07,0.19,0.36,0.36,0.77,./results/1056595_1916-07-27_1950.jpg
21,36,0.97,0.47,0.32,0.1,0.63,0.27,0.46,0.07,0.22,0.43,0.32,0.78,./results/10607883_1974-06-14_2010.jpg
22,40,1.0,0.49,0.32,0.11,0.59,0.27,0.44,0.06,0.21,0.41,0.32,0.82,./results/1065122_1970-08-15_2010.jpg
23,54,0.97,0.44,0.31,0.09,0.59,0.25,0.43,0.06,0.17,0.38,0.31,0.75,./results/1065862_1960-05-20_2014.jpg
24,52,0.97,0.47,0.3,0.08,0.6,0.25,0.44,0.06,0.22,0.4,0.3,0.77,./results/1069241_1955-10-06_2007.jpg
25,57,0.98,0.43,0.27,0.12,0.56,0.25,0.4,0.06,0.17,0.33,0.27,0.7,./results/1069442_1891-01-01_1948.jpg
