id,u_id,date,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,Emotion
1,2,2019-07-01 00:00:00,100,12,29,100,18,39,32,45,11,56,0
2,10,2019-07-01 00:00:00,98,78,47,32,34,99,48,26,55,70,5
3,10,2019-07-01 00:00:00,57,100,47,35,7,17,73,71,95,37,4
4,1,2019-07-01 00:00:00,28,71,26,2,81,86,70,56,44,58,0
5,5,2019-07-01 00:00:00,2,93,72,37,61,5,90,87,81,18,3
6,4,2019-07-01 00:00:00,39,11,67,75,6,39,16,18,70,62,2
7,5,2019-07-01 00:00:00,48,68,97,34,76,98,45,69,87,10,4
8,6,2019-07-01 00:00:00,85,55,36,37,30,1,50,84,58,21,6
9,7,2019-07-01 00:00:00,39,71,26,2,30,98,27,83,60,13,6
10,2,2019-07-01 00:00:00,61,3,18,41,42,28,27,58,79,97,1
11,7,2019-07-01 00:00:00,18,62,1,44,11,27,29,90,49,59,4
12,2,2019-07-01 00:00:00,95,43,64,80,76,45,51,42,14,32,4
13,3,2019-07-01 00:00:00,51,52,53,18,61,8,10,76,54,57,4
14,7,2019-07-01 00:00:00,43,99,17,57,92,45,96,6,65,73,6
15,3,2019-07-01 00:00:00,4,87,80,44,100,74,20,54,42,76,6
16,10,2019-07-01 00:00:00,18,38,91,42,13,15,30,82,28,77,2
17,1,2019-07-01 00:00:00,53,34,24,14,25,89,58,52,42,33,6
18,3,2019-07-01 00:00:00,46,25,21,76,81,83,78,98,94,66,0
19,3,2019-07-01 00:00:00,8,87,6,14,94,58,76,51,76,77,2
20,1,2019-07-01 00:00:00,67,93,10,43,7,43,70,1,65,51,6
21,3,2019-07-01 00:00:00,97,50,63,20,43,4,97,58,40,9,3
22,9,2019-07-01 00:00:00,61,20,26,55,100,55,1,48,10,84,4
23,5,2019-07-01 00:00:00,94,24,86,82,64,26,29,46,69,29,6
24,4,2019-07-01 00:00:00,54,72,81,29,86,91,6,51,13,74,6
25,8,2019-07-01 00:00:00,42,29,92,53,7,57,45,13,17,9,6
26,9,2019-07-01 00:00:00,6,54,52,47,4,96,82,1,1,41,3
27,6,2019-07-01 00:00:00,62,25,85,77,73,46,35,59,1,55,0
28,4,2019-07-01 00:00:00,73,83,65,9,3,19,39,17,29,83,5
29,7,2019-07-01 00:00:00,33,9,8,26,98,96,16,88,73,10,0
30,5,2019-07-01 00:00:00,92,55,15,78,40,5,10,60,54,54,4
31,9,2019-07-01 00:00:00,68,57,69,2,89,42,68,26,45,36,6
32,2,2019-07-01 00:00:00,9,96,10,10,65,21,39,7,8,60,5
33,8,2019-07-01 00:00:00,71,82,58,93,38,34,89,60,93,37,5
34,9,2019-07-01 00:00:00,20,2,12,77,39,91,23,78,91,83,5
35,1,2019-07-01 00:00:00,34,15,71,57,50,43,86,73,1,6,1
36,1,2019-07-01 00:00:00,10,70,81,41,86,22,78,86,94,53,3
37,7,2019-07-01 00:00:00,70,82,4,37,5,24,32,33,81,42,1
38,8,2019-07-01 00:00:00,30,26,16,34,38,74,68,11,54,76,3
39,6,2019-07-01 00:00:00,56,2,28,47,14,52,3,29,73,21,4
40,3,2019-07-01 00:00:00,78,1,47,26,51,32,52,31,27,19,6
41,8,2019-07-01 00:00:00,97,58,26,51,96,12,68,53,32,40,5
42,5,2019-07-01 00:00:00,25,87,98,47,25,77,61,54,88,32,3
43,7,2019-07-01 00:00:00,45,8,32,87,61,36,87,21,59,52,4
44,5,2019-07-01 00:00:00,61,40,72,62,11,47,32,21,79,83,6
45,6,2019-07-01 00:00:00,93,1,45,91,32,51,66,12,80,29,6
46,10,2019-07-01 00:00:00,45,42,63,83,83,100,84,62,81,65,3
47,4,2019-07-01 00:00:00,14,36,75,9,15,81,13,64,11,9,2
48,3,2019-07-01 00:00:00,95,92,16,50,98,3,65,61,24,68,3
49,8,2019-07-01 00:00:00,99,76,64,9,3,2,69,73,79,27,1
50,10,2019-07-01 00:00:00,55,99,39,80,3,57,40,4,84,29,0
51,6,2019-07-01 00:00:00,94,41,29,21,67,13,2,9,1,31,6
52,7,2019-07-01 00:00:00,64,73,58,74,61,32,51,99,25,88,1
53,1,2019-07-01 00:00:00,64,39,4,37,15,91,42,60,37,47,4
54,2,2019-07-01 00:00:00,52,69,96,34,71,86,83,12,86,66,2
55,9,2019-07-01 00:00:00,85,87,98,67,49,98,55,30,28,11,5
56,1,2019-07-01 00:00:00,9,40,25,2,34,48,36,17,69,24,5
57,2,2019-07-01 00:00:00,34,84,14,66,61,44,57,65,1,75,1
58,9,2019-07-01 00:00:00,85,7,5,99,41,82,11,3,11,26,4
59,9,2019-07-01 00:00:00,15,76,66,38,96,68,81,32,50,53,1
60,9,2019-07-01 00:00:00,33,50,58,51,43,48,3,13,2,96,0
61,9,2019-07-01 00:00:00,22,61,36,76,38,86,50,62,16,5,5
62,6,2019-07-01 00:00:00,51,66,31,69,50,18,48,27,65,30,6
63,2,2019-07-01 00:00:00,9,88,63,30,92,71,86,1,65,96,2
64,8,2019-07-01 00:00:00,21,6,39,87,41,86,92,66,78,52,0
